Time, Volt(pu),Ang(Deg),Status
122.0,0.983570546088393,8.018006486467721,Low Load
118.0,0.9804407939351357,7.957520867282581,Low Load
3.0,0.8226952582191878,-28.008158830475814,High Load
66.0,0.961162493330124,-9.308084599626623,Generator down
31.0,0.8229806373939852,-29.89197679564368,High Load
78.0,0.8343533511342596,-27.21490399518003,High Load
130.0,0.9836782969139202,8.037107433964465,Low Load
13.0,0.8076790781380168,-29.997808838407405,High Load
190.0,0.93454118648429,-1.1598539438770998,Line Down
110.0,0.9804021643771061,7.4964006627704025,Low Load
79.0,0.9603464618621855,-9.36902316150285,Generator down
93.0,0.9630551502056097,-8.48518309225208,Generator down
145.0,0.7953969019459525,-32.27637941449312,High Load
72.0,0.9610515983495578,-9.113393041126537,Generator down
89.0,0.9873466806076864,7.291336190194252,Low Load
188.0,0.9804899544578135,7.834988730469502,Low Load
6.0,0.932824599689737,-1.8513971719256717,Line Down
60.0,0.9621247391230155,-8.647526319327087,Generator down
189.0,0.9802234436750842,7.616064242755435,Low Load
176.0,0.9628124266171327,-8.434084709099636,Generator down
158.0,0.982563310615302,6.95039019363613,Low Load
46.0,0.9603353993810603,-9.628698220673362,Generator down
28.0,0.9354014235190967,-1.1992877685027354,Line Down
200.0,0.9352928251208895,-1.5472729080547263,Line Down
134.0,0.9611287741439789,-9.3788379145491,Generator down
95.0,0.9336902969534531,-2.3773322262523764,Line Down
39.0,0.7992399312121508,-30.5083699660777,High Load
69.0,0.8085886219311083,-28.932552058885268,High Load
5.0,0.9625180972296871,-8.848582481001012,Generator down
30.0,0.8186827294220164,-28.733824369315737,High Load
131.0,0.8316310402463016,-27.655873748987002,High Load
27.0,0.9328833605990916,-2.10707471586972,Line Down
70.0,0.962087136442026,-8.749483851822285,Generator down
143.0,0.9342197715635328,-1.522318071182246,Line Down
35.0,0.8235959545996808,-28.845537538681384,High Load
43.0,0.9838205428059369,7.727302799817441,Low Load
137.0,0.9862634414497956,7.863036141998696,Low Load
199.0,0.9605746575112476,-9.434358787339022,Generator down
8.0,0.7845214350857467,-33.133658904633414,High Load
155.0,0.9630872750150348,-8.685840382097375,Generator down
187.0,0.9353563272993621,-1.5591053474206942,Line Down
