Time, Volt(pu),Ang(Deg),Status
122.0,1.0,19.400399843744733,Line Down
118.0,1.0,19.462767864360952,Line Down
3.0,1.0,-22.99965306113169,High Load
66.0,0.9999999999999999,-9.43000639589228,Generator down
31.0,0.9999999999999998,-25.175744887543622,High Load
78.0,0.9999999999999997,-22.38539864293193,High Load
130.0,1.0,19.53326865731937,Line Down
13.0,1.0,-26.1793326404894,High Load
190.0,1.0,20.485680679608112,Low Load
110.0,0.9999999999999998,18.873825318088596,Line Down
79.0,0.9999999999999999,-9.295412943868042,Generator down
93.0,1.0,-8.826490521713232,Generator down
145.0,0.9999999999999996,-27.04935869229974,High Load
72.0,0.9999999999999998,-9.079448931477309,Generator down
89.0,1.0,19.076746424810022,Line Down
188.0,1.0,19.386835215660383,Line Down
6.0,0.9999999999999998,20.08898865294618,Low Load
60.0,1.0,-8.722856689441057,Generator down
189.0,1.0,19.331718686790175,Line Down
176.0,0.9999999999999998,-8.730219601897543,Generator down
158.0,0.9999999999999998,18.636003583386948,Line Down
46.0,0.9999999999999999,-9.702771594436324,Generator down
28.0,0.9999999999999999,20.106095764190076,Low Load
200.0,1.0,19.56949185887223,Line Down
134.0,0.9999999999999998,-9.504564212231308,Generator down
95.0,0.9999999999999997,19.08910115348038,Line Down
39.0,1.0,-25.48474328768812,High Load
69.0,1.0,-24.373313105973605,High Load
5.0,1.0,-9.303157245037474,Generator down
30.0,1.0,-24.470426824575092,High Load
131.0,0.9999999999999999,-22.82393455705684,High Load
27.0,0.9999999999999999,19.674915226124227,Low Load
70.0,1.0,-8.797124981363147,Generator down
143.0,0.9999999999999999,20.131369982029153,Low Load
35.0,1.0,-23.894706582510178,High Load
43.0,1.0,19.133263769760074,Line Down
137.0,1.0,19.65418208199623,Low Load
199.0,0.9999999999999999,-9.478619343349203,Generator down
8.0,0.9999999999999999,-28.579377348664526,High Load
155.0,1.0,-9.163217762754428,Generator down
187.0,1.0,19.749099729780138,Low Load
112.0,1.0,19.660693465121266,Low Load
48.0,0.9999999999999999,-23.35480057693851,High Load
157.0,0.9999999999999999,19.024411904316594,Line Down
105.0,0.9999999999999998,18.982941429138517,Line Down
139.0,1.0,-24.546237777974824,High Load
51.0,0.9999999999999999,18.10135301889714,Line Down
111.0,1.0,-27.45324075376096,High Load
169.0,1.0,18.59780606500974,Line Down
64.0,0.9999999999999998,18.90124188709743,Line Down
174.0,0.9999999999999999,-25.032627798671964,High Load
54.0,1.0,18.663971913819925,Line Down
94.0,1.0,19.374771272470404,Line Down
141.0,1.0,20.022397960594112,Low Load
15.0,1.0,-8.956568923788199,Generator down
96.0,0.9999999999999998,-9.312274227708244,Generator down
144.0,0.9999999999999999,-8.756081587628437,Generator down
107.0,0.9999999999999998,18.385936606644194,Line Down
52.0,0.9999999999999999,20.436981469991583,Low Load
1.0,0.9999999999999999,-27.42938720473807,High Load
21.0,1.0,-8.944383498232813,Generator down
68.0,0.9999999999999999,-9.233577104309001,Generator down
175.0,1.0,-9.480546632302989,Generator down
80.0,0.9999999999999998,19.16835700491413,Line Down
127.0,1.0,20.01603682521693,Low Load
88.0,0.9999999999999998,-28.010410036970423,High Load
10.0,0.9999999999999999,19.90351377302281,Low Load
135.0,0.9999999999999999,19.88721606854273,Low Load
58.0,0.9999999999999999,-24.839931439616773,High Load
115.0,0.9999999999999999,-25.174076293029295,High Load
164.0,0.9999999999999998,19.80738982360583,Low Load
193.0,0.9999999999999998,-25.169181869644866,High Load
36.0,1.0,19.959970303365623,Low Load
7.0,0.9999999999999999,19.26255909110953,Line Down
42.0,1.0,-8.74085618920478,Generator down
49.0,1.0,-8.84718201854869,Generator down
120.0,1.0,19.05163300982507,Line Down
191.0,0.9999999999999998,-25.31837947018889,High Load
83.0,1.0,-24.34184208844157,High Load
166.0,0.9999999999999997,19.140111498660566,Line Down
19.0,0.9999999999999997,20.226134507141403,Low Load
16.0,0.9999999999999999,19.250722251224868,Line Down
71.0,1.0,19.417957034047372,Line Down
92.0,0.9999999999999999,-9.040989845618993,Generator down
124.0,1.0,-9.956689109354821,Generator down
67.0,0.9999999999999999,-8.855263835185573,Generator down
149.0,0.9999999999999999,18.960049480935794,Line Down
44.0,0.9999999999999999,19.942830184448063,Low Load
2.0,0.9999999999999998,-25.937594896131902,High Load
97.0,1.0,20.361616776711546,Low Load
192.0,0.9999999999999999,-9.130728129556413,Generator down
160.0,0.9999999999999999,19.638490951326077,Low Load
99.0,0.9999999999999998,-28.20450468000534,High Load
161.0,0.9999999999999998,18.665938212419828,Line Down
37.0,1.0,-23.988037302985244,High Load
125.0,0.9999999999999998,19.72979171653743,Low Load
123.0,1.0,19.863360707818835,Low Load
74.0,1.0,18.7772375220573,Line Down
129.0,0.9999999999999999,19.319932021469413,Line Down
133.0,0.9999999999999999,-9.291202534561291,Generator down
179.0,0.9999999999999996,18.75762704837588,Line Down
45.0,1.0,-8.852160361272931,Generator down
9.0,0.9999999999999998,19.5961487177012,Low Load
101.0,0.9999999999999999,-8.831333419751124,Generator down
185.0,0.9999999999999999,-23.391970263938727,High Load
98.0,0.9999999999999998,-9.423683333264032,Generator down
81.0,0.9999999999999998,19.114546430807415,Line Down
87.0,1.0,20.430310364037254,Low Load
24.0,0.9999999999999999,-9.983769040423855,Generator down
172.0,1.0,-27.300566891693173,High Load
183.0,1.0,-26.426636451809507,High Load
181.0,0.9999999999999998,-23.874223042642093,High Load
148.0,1.0,20.075390625849913,Low Load
17.0,1.0,-9.449703541011443,Generator down
32.0,0.9999999999999999,19.379632415528924,Line Down
146.0,1.0,-8.924399954822727,Generator down
171.0,0.9999999999999998,19.192198318462907,Line Down
